Designator,Mid X,Mid Y,Rotation,Layer
D1,57.785,-47.1425,270.0,top
D2,66.675,-47.1425,270.0,top
D3,75.565,-47.1425,270.0,top
D4,84.455,-47.1425,270.0,top
D5,92.71,-47.1425,270.0,top
J1,76.2,-34.925,90.0,top
R1,48.895,-44.895,270.0,top
R10,84.455,-43.37,270.0,top
R2,57.785,-40.195,90.0,top
R3,66.675,-40.195,90.0,top
R4,57.785,-43.37,270.0,top
R5,75.565,-40.195,90.0,top
R6,66.675,-43.37,270.0,top
R7,84.455,-40.195,90.0,top
R8,75.565,-43.37,270.0,top
R9,92.71,-41.72,90.0,top
U1,53.34,-42.4,270.0,bottom
U2,62.23,-42.4,270.0,bottom
U3,71.12,-42.4,270.0,bottom
U4,80.01,-42.4,270.0,bottom
U5,88.68,-42.4,270.0,bottom
U6,98.425,-41.91,180.0,top
